date,symbol,holder_level,holders,shares,ratio,source
2026-05-29,1216,1,58920,13825739,0.24,TDCC
2026-05-29,1216,10,448,62323203,1.09,TDCC
2026-05-29,1216,11,291,82646864,1.45,TDCC
2026-05-29,1216,12,147,73084361,1.28,TDCC
2026-05-29,1216,13,103,70975111,1.24,TDCC
2026-05-29,1216,14,67,60031437,1.05,TDCC
2026-05-29,1216,15,446,4819642237,84.82,TDCC
2026-05-29,1216,16,0,0,0.0,TDCC
2026-05-29,1216,17,156631,5682015421,100.0,TDCC
2026-05-29,1216,2,73918,151890426,2.67,TDCC
2026-05-29,1216,3,12017,89217584,1.57,TDCC
2026-05-29,1216,4,3784,47334752,0.83,TDCC
2026-05-29,1216,5,2229,39570976,0.69,TDCC
2026-05-29,1216,6,1823,45502788,0.8,TDCC
2026-05-29,1216,7,909,31794798,0.55,TDCC
2026-05-29,1216,8,561,25622602,0.45,TDCC
2026-05-29,1216,9,968,68552543,1.2,TDCC
2026-05-29,1217,1,109665,2985681,0.6,TDCC
2026-05-29,1217,10,147,19616147,3.96,TDCC
2026-05-29,1217,11,73,20005265,4.04,TDCC
2026-05-29,1217,12,28,13251907,2.67,TDCC
2026-05-29,1217,13,12,8036587,1.62,TDCC
2026-05-29,1217,14,13,11864998,2.39,TDCC
2026-05-29,1217,15,70,263651990,53.31,TDCC
2026-05-29,1217,16,0,0,0.0,TDCC
2026-05-29,1217,17,140798,494513336,100.0,TDCC
2026-05-29,1217,2,23814,44861539,9.07,TDCC
2026-05-29,1217,3,3664,27252080,5.51,TDCC
2026-05-29,1217,4,1293,15243563,3.08,TDCC
2026-05-29,1217,5,627,11481919,2.32,TDCC
2026-05-29,1217,6,632,15694395,3.17,TDCC
2026-05-29,1217,7,265,9325451,1.88,TDCC
2026-05-29,1217,8,185,8593808,1.73,TDCC
2026-05-29,1217,9,310,22648006,4.57,TDCC
2026-05-29,1218,1,61247,2931656,0.58,TDCC
2026-05-29,1218,10,113,16139216,3.22,TDCC
2026-05-29,1218,11,63,18124481,3.62,TDCC
2026-05-29,1218,12,20,9542550,1.9,TDCC
2026-05-29,1218,13,13,8921853,1.78,TDCC
2026-05-29,1218,14,6,5539121,1.1,TDCC
2026-05-29,1218,15,35,318989575,63.79,TDCC
2026-05-29,1218,16,0,0,0.0,TDCC
2026-05-29,1218,17,83236,499999038,100.0,TDCC
2026-05-29,1218,2,16714,34249966,6.85,TDCC
2026-05-29,1218,3,2579,20355171,4.07,TDCC
2026-05-29,1218,4,869,11095672,2.21,TDCC
2026-05-29,1218,5,527,9759260,1.95,TDCC
2026-05-29,1218,6,427,10919704,2.18,TDCC
2026-05-29,1218,7,219,7885366,1.57,TDCC
2026-05-29,1218,8,146,6840654,1.36,TDCC
2026-05-29,1218,9,258,18704793,3.74,TDCC
2026-05-29,1219,1,37903,1466542,0.42,TDCC
2026-05-29,1219,10,118,16336396,4.78,TDCC
2026-05-29,1219,11,51,13791891,4.04,TDCC
2026-05-29,1219,12,12,5741426,1.68,TDCC
2026-05-29,1219,13,9,5918610,1.73,TDCC
2026-05-29,1219,14,6,5086062,1.49,TDCC
2026-05-29,1219,15,52,193880682,56.81,TDCC
2026-05-29,1219,16,0,0,0.0,TDCC
2026-05-29,1219,17,53540,341238364,100.0,TDCC
2026-05-29,1219,2,10469,21135288,6.19,TDCC
2026-05-29,1219,3,2330,15779615,4.62,TDCC
2026-05-29,1219,4,1107,12849438,3.76,TDCC
2026-05-29,1219,5,391,6860919,2.01,TDCC
2026-05-29,1219,6,488,11610431,3.4,TDCC
2026-05-29,1219,7,230,7838023,2.29,TDCC
2026-05-29,1219,8,130,5744060,1.68,TDCC
2026-05-29,1219,9,244,17198981,5.04,TDCC
2026-05-29,1220,1,39833,1014856,0.57,TDCC
2026-05-29,1220,10,51,6969460,3.93,TDCC
2026-05-29,1220,11,42,11235907,6.34,TDCC
2026-05-29,1220,12,8,3894920,2.19,TDCC
2026-05-29,1220,13,6,4397989,2.48,TDCC
2026-05-29,1220,14,5,4387579,2.47,TDCC
2026-05-29,1220,15,27,106905892,60.37,TDCC
2026-05-29,1220,16,0,0,0.0,TDCC
2026-05-29,1220,17,47068,177077944,100.0,TDCC
2026-05-29,1220,2,5607,11193131,6.32,TDCC
2026-05-29,1220,3,768,6208708,3.5,TDCC
