date,symbol,foreign_net,investment_trust_net,dealer_net,total_institutional_net,source
2026-01-02,4577,-29000,0,687,-28313,TPEX
2026-01-02,4580,24000,0,0,24000,TPEX
2026-01-02,4702,-6000,0,0,-6000,TPEX
2026-01-02,4706,-1000,0,0,-1000,TPEX
2026-01-02,4707,39000,0,0,39000,TPEX
2026-01-02,4711,0,0,0,0,TPEX
2026-01-02,4714,421000,0,-4056,416944,TPEX
2026-01-02,4716,75000,0,0,75000,TPEX
2026-01-02,4721,201000,0,721,201721,TPEX
2026-01-02,4726,96000,0,-274,95726,TPEX
2026-01-02,4729,-63000,0,0,-63000,TPEX
2026-01-02,4735,1000,0,0,1000,TPEX
2026-01-02,4741,2000,0,0,2000,TPEX
2026-01-02,4743,90035,0,4671,94706,TPEX
2026-01-02,4744,32000,0,0,32000,TPEX
2026-01-02,4745,24000,0,0,24000,TPEX
2026-01-02,4749,277970,993000,214002,1484972,TPEX
2026-01-02,4754,-1000,0,0,-1000,TPEX
2026-01-02,4760,194000,0,77242,271242,TPEX
2026-01-02,4768,-65367,0,1300,-64067,TPEX
2026-01-02,4772,2050010,513000,174957,2737967,TPEX
2026-01-02,4903,5000,0,-39,4961,TPEX
2026-01-02,4905,1000,0,0,1000,TPEX
2026-01-02,4908,39000,0,2799,41799,TPEX
2026-01-02,4909,492372,0,-34059,458313,TPEX
2026-01-02,4911,2000,0,0,2000,TPEX
2026-01-02,4923,-2000,0,0,-2000,TPEX
2026-01-02,4931,52000,0,81000,133000,TPEX
2026-01-02,4933,10000,0,-7000,3000,TPEX
2026-01-02,4939,403000,0,-38,402962,TPEX
2026-01-02,4946,-3000,0,0,-3000,TPEX
2026-01-02,4950,-1000,0,0,-1000,TPEX
2026-01-02,4951,-7000,0,-314,-7314,TPEX
2026-01-02,4953,25000,-52000,12909,-14091,TPEX
2026-01-02,4966,-498103,429000,-5777,-74880,TPEX
2026-01-02,4971,35000,0,-6000,29000,TPEX
2026-01-02,4972,-2000,0,0,-2000,TPEX
2026-01-02,4973,905000,0,-6000,899000,TPEX
2026-01-02,4974,63000,0,640,63640,TPEX
2026-01-02,4979,419970,656000,-209403,866567,TPEX
2026-01-02,4987,6000,0,0,6000,TPEX
2026-01-02,4991,35050,0,6000,41050,TPEX
2026-01-02,4995,7000,0,0,7000,TPEX
2026-01-02,5009,321000,0,-43512,277488,TPEX
2026-01-02,5011,-4000,0,0,-4000,TPEX
2026-01-02,5013,2000,0,0,2000,TPEX
2026-01-02,5014,-47000,0,-9,-47009,TPEX
2026-01-02,5015,1000,0,0,1000,TPEX
2026-01-02,5201,-52000,0,0,-52000,TPEX
2026-01-02,5202,45000,0,0,45000,TPEX
2026-01-02,5206,-8000,0,0,-8000,TPEX
2026-01-02,5209,-7000,0,-1105,-8105,TPEX
2026-01-02,5210,20000,0,-55,19945,TPEX
2026-01-02,5212,-1000,0,0,-1000,TPEX
2026-01-02,5213,15000,0,0,15000,TPEX
2026-01-02,5220,0,0,0,0,TPEX
2026-01-02,5223,-2000,0,0,-2000,TPEX
2026-01-02,5227,6000,0,-233,5767,TPEX
2026-01-02,5228,3000,0,0,3000,TPEX
2026-01-02,5230,24000,0,-16,23984,TPEX
2026-01-02,5236,36000,0,-4917,31083,TPEX
2026-01-02,5245,6000,0,0,6000,TPEX
2026-01-02,5251,31000,0,247,31247,TPEX
2026-01-02,5263,-253000,0,40120,-212880,TPEX
2026-01-02,5272,11000,0,0,11000,TPEX
2026-01-02,5274,-9582,17900,3954,12272,TPEX
2026-01-02,5278,87000,0,-1971,85029,TPEX
2026-01-02,5287,-12000,0,0,-12000,TPEX
2026-01-02,5289,292052,145000,66406,503458,TPEX
2026-01-02,5291,-7000,0,0,-7000,TPEX
2026-01-02,5299,32000,0,-982,31018,TPEX
2026-01-02,5301,1000,0,-334,666,TPEX
2026-01-02,5302,-3000,0,-2000,-5000,TPEX
2026-01-02,5309,-1209980,-1000,-97412,-1308392,TPEX
2026-01-02,5312,7000,0,-733,6267,TPEX
2026-01-02,5314,4620,0,27197,31817,TPEX
2026-01-02,5315,240000,0,0,240000,TPEX
2026-01-02,5321,8000,0,75,8075,TPEX
2026-01-02,5328,2765000,0,0,2765000,TPEX
2026-01-02,5340,-501000,0,-11050,-512050,TPEX
2026-01-02,5344,0,0,0,0,TPEX
2026-01-02,5347,4415502,-6677000,54877,-2206621,TPEX
2026-01-02,5351,4343615,0,129562,4473177,TPEX
2026-01-02,5353,1000,0,0,1000,TPEX
2026-01-02,5355,2000,0,-3,1997,TPEX
2026-01-02,5356,-9000,0,0,-9000,TPEX
2026-01-02,5364,0,0,0,0,TPEX
2026-01-02,5371,134010,0,-121667,12343,TPEX
2026-01-02,5381,161000,0,0,161000,TPEX
2026-01-02,5386,-570000,0,-15000,-585000,TPEX
2026-01-02,5392,23000,0,14770,37770,TPEX
2026-01-02,5398,-56000,0,0,-56000,TPEX
2026-01-02,5403,11000,0,0,11000,TPEX
2026-01-02,5410,99000,0,322,99322,TPEX
2026-01-02,5425,-3000,-4255,54215,46960,TPEX
2026-01-02,5426,92000,0,-465,91535,TPEX
2026-01-02,5432,21000,0,-322,20678,TPEX
2026-01-02,5438,-72000,0,-6922,-78922,TPEX
2026-01-02,5439,-930200,-8000,-24784,-962984,TPEX
2026-01-02,5443,138860,0,67192,206052,TPEX
2026-01-02,5450,11000,0,0,11000,TPEX
2026-01-02,5452,198000,0,13426,211426,TPEX
2026-01-02,5457,50000,-1000,310,49310,TPEX
2026-01-02,5460,1000,0,-16,984,TPEX
2026-01-02,5464,5000,0,-1000,4000,TPEX
2026-01-02,5465,65000,0,16,65016,TPEX
2026-01-02,5468,31000,0,-5000,26000,TPEX
2026-01-02,5474,-26000,0,-1328,-27328,TPEX
2026-01-02,5475,-379800,0,90362,-289438,TPEX
2026-01-02,5478,-21000,0,1155,-19845,TPEX
2026-01-02,5481,-185000,0,0,-185000,TPEX
2026-01-02,5483,-1382098,1053201,108316,-220581,TPEX
2026-01-02,5488,0,0,-2,-2,TPEX
2026-01-02,5489,5000,0,0,5000,TPEX
2026-01-02,5490,-62000,0,711,-61289,TPEX
2026-01-02,5493,-5000,0,14,-4986,TPEX
2026-01-02,5498,1581900,0,-64000,1517900,TPEX
2026-01-02,5508,-438000,0,-25782,-463782,TPEX
2026-01-02,5511,21000,0,0,21000,TPEX
2026-01-02,5512,-473000,0,0,-473000,TPEX
2026-01-02,5514,-19000,0,0,-19000,TPEX
2026-01-02,5516,-3000,0,-3000,-6000,TPEX
2026-01-02,5523,4000,0,0,4000,TPEX
2026-01-02,5529,0,0,0,0,TPEX
2026-01-02,5530,54000,0,1059,55059,TPEX
2026-01-02,5536,-709800,437300,-27773,-300273,TPEX
2026-01-02,5548,2000,0,0,2000,TPEX
2026-01-02,5603,1000,0,0,1000,TPEX
2026-01-02,5604,-1000,0,0,-1000,TPEX
2026-01-02,5609,-12000,0,0,-12000,TPEX
2026-01-02,5701,0,0,-6,-6,TPEX
2026-01-02,5704,1000,0,0,1000,TPEX
2026-01-02,5864,-161000,0,0,-161000,TPEX
2026-01-02,5878,0,0,21,21,TPEX
2026-01-02,5902,0,0,139,139,TPEX
2026-01-02,5903,15000,-39000,3000,-21000,TPEX
2026-01-02,5904,47757,50000,455,98212,TPEX
2026-01-02,5905,129000,0,-28,128972,TPEX
2026-01-02,6015,1000,0,0,1000,TPEX
2026-01-02,6016,4000,0,0,4000,TPEX
2026-01-02,6020,0,0,0,0,TPEX
2026-01-02,6021,27000,0,0,27000,TPEX
2026-01-02,6023,-22000,-26000,0,-48000,TPEX
2026-01-02,6026,110000,0,0,110000,TPEX
2026-01-02,6104,-60000,0,2764,-57236,TPEX
2026-01-02,6109,0,0,-10,-10,TPEX
2026-01-02,6111,185000,0,19680,204680,TPEX
2026-01-02,6113,14000,0,19,14019,TPEX
2026-01-02,6114,-1000,0,0,-1000,TPEX
2026-01-02,6118,137000,0,0,137000,TPEX
2026-01-02,6121,100203,-507914,6258,-401453,TPEX
2026-01-02,6122,82000,0,-7417,74583,TPEX
2026-01-02,6123,7000,0,93,7093,TPEX
2026-01-02,6124,-13000,0,-931,-13931,TPEX
2026-01-02,6125,41585,0,-83850,-42265,TPEX
2026-01-02,6126,674000,0,13000,687000,TPEX
2026-01-02,6127,984998,0,101167,1086165,TPEX
2026-01-02,6129,40000,0,-90,39910,TPEX
2026-01-02,6130,-34000,0,0,-34000,TPEX
2026-01-02,6134,-80000,0,-207,-80207,TPEX
2026-01-02,6138,14000,-42000,17895,-10105,TPEX
2026-01-02,6140,25000,0,-332,24668,TPEX
2026-01-02,6143,30000,0,-2651,27349,TPEX
2026-01-02,6144,-3000,0,0,-3000,TPEX
2026-01-02,6146,-21000,0,0,-21000,TPEX
2026-01-02,6147,787050,-1742616,47106,-908460,TPEX
2026-01-02,6148,40000,0,0,40000,TPEX
2026-01-02,6150,-58000,0,29763,-28237,TPEX
2026-01-02,6151,133000,0,0,133000,TPEX
2026-01-02,6154,1000,0,0,1000,TPEX
2026-01-02,6156,232000,0,-134,231866,TPEX
2026-01-02,6158,9050,0,0,9050,TPEX
2026-01-02,6160,54000,0,-430,53570,TPEX
2026-01-02,6161,36000,0,0,36000,TPEX
2026-01-02,6163,-732000,0,-86426,-818426,TPEX
2026-01-02,6167,16500,0,0,16500,TPEX
2026-01-02,6169,-1000,0,0,-1000,TPEX
2026-01-02,6170,4000,0,0,4000,TPEX
